schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,5A,0x0100,256,,,0x909C52F4,9,10,2,3,4,28,38,12,9,0,-16,-19,800,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,5B,0x0101,257,,,0x909C580C,12,13,2,3,4,44,57,17,12,0,-27,-32,1600,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,5C,0x0102,258,,,0x909C5E98,17,18,2,,,48,66,17,12,0,-31,-36,3200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,2A,0x0103,259,,,0x909C66E4,10,10,1,2,4,28,38,12,9,0,-16,-19,800,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,2B,0x0104,260,,,0x909C6C0C,12,14,3,10,10,46,60,17,12,0,-29,-34,1600,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,2C,0x0105,261,,,0x909C7108,21,23,3,10,10,44,67,21,15,0,-23,-29,3200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,6C,0x0106,262,,,0x909C7998,17,21,5,12,12,33,54,21,15,0,-12,-18,3800,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,3C,0x0108,264,,,0x909C8078,17,19,3,12,12,41,60,21,15,0,-20,-26,3200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,j.A,0x0109,265,,,0x909C8624,8,11,4,12,12,22,34,12,9,0,-10,-13,800,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,j.B,0x010A,266,,,0x909C8A90,11,14,4,12,12,25,39,17,12,0,-8,-13,1600,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:010A|||j.B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,j.C,0x010B,267,,,0x909C8FAC,19,20,2,,,40,60,21,15,0,-19,-25,3200,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:010B|||j.C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,21,Soki,id_21_soki,P2-C2,2026-07-13T18:32:56Z,normal,saved full action profile,6B,0x010E,270,,,0x909C96B8,8,10,3,,,71,81,12,9,0,-59,-62,880,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x909ACAE0,,,21|id_21_soki|normal|action:010E|||6B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,21,Soki,id_21_soki,P1-C1,2026-07-13T13:45:36Z,special,saved full action profile,anim_--,,,,,0x908A93BC,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,21|id_21_soki|special|raw:addr:908A93BC|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,21,Soki,id_21_soki,P1-C1,2026-07-13T13:45:36Z,special,saved full action profile,anim_--,,,,,0x908A95F0,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,21|id_21_soki|special|raw:addr:908A95F0|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,21,Soki,id_21_soki,P1-C1,2026-07-13T13:45:36Z,special,saved full action profile,anim_--,,,,,0x908A9EFC,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,21|id_21_soki|special|raw:addr:908A9EFC|||anim_--
