schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,5A,0x0100,256,,,0x908AF910,5,8,4,1,4,10,22,12,9,6,2,-1,720,50,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,7,0,7,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,5B,0x0101,257,,,0x908AFD94,10,13,4,4,4,19,32,17,12,9,-2,-7,1600,100,1,,0,runtime_observed,runtime_observed,,runtime_observed,mot_derived,3,0,0,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,5C,0x0102,258,,,0x908B013C,12,13,2,4,4,1,48,21,15,12,20,14,960,150,4,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,5,0,3,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,2A,0x0103,259,,,0x908B0A4C,5,8,4,3,4,1,24,12,9,,11,8,400,50,2,,0,runtime_observed,runtime_observed,,,runtime_observed,2,0,2,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,2B,0x0104,260,,,0x908B1038,9,12,4,3,4,11,33,17,12,9,6,1,1520,100,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,6,0,2,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,2C,0x0105,261,,,0x908B138C,10,14,5,1,4,25,44,21,15,,-4,-10,2800,150,1,,0,runtime_observed,,,,runtime_observed,0,0,3,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,6C,0x0106,262,,,0x908B16D8,14,18,5,8,8,30,48,21,15,,-9,-15,3300,150,1,,0,runtime_observed,runtime_observed,,,mot_derived,1,0,0,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,3C,0x0108,264,,,0x908B1AEC,9,15,7,5,5,38,53,21,15,,-17,-23,2560,150,0,,0,engine_default_hit_level,,,,mot_derived,,,,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,j.A,0x0109,265,,,0x908B1E38,5,13,9,5,5,23,36,12,9,,-11,-14,640,50,1,,0,engine_default_hit_level,,,,mot_derived,,,,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,15,Morrigan,id_15_morrigan,P1-C1,2026-07-04T13:54:26Z,normal,saved full action profile,j.B,0x010A,266,,,0x908B2318,7,11,5,,,34,45,13,12,,-21,-22,1600,100,1,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x90896640,,,15|id_15_morrigan|normal|action:010A|||j.B
