schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,5A,0x0100,256,,,0x9090FAEC,8,10,3,,,37,47,12,9,0,-25,-28,1280,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,5B,0x0101,257,,,0x90910010,18,20,3,14,14,45,65,17,12,0,-28,-33,2000,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,5C,0x0102,258,,,0x9091058C,18,19,2,14,14,56,75,21,15,0,-35,-41,3200,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,2A,0x0103,259,,,0x90910B60,7,9,3,3,4,33,42,12,9,0,-21,-24,1200,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,2B,0x0104,260,,,0x90911064,19,20,2,3,4,45,65,17,12,0,-28,-33,1920,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,2C,0x0105,261,,,0x9091147C,22,24,3,,,42,66,21,15,0,-21,-27,3320,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,6C,0x0106,262,,,0x909119F0,18,20,3,,,64,84,21,15,0,-43,-49,0,150,2,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,3C,0x0108,264,,,0x909124D0,21,25,5,,,43,68,21,15,0,-22,-28,3360,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,j.A,0x0109,265,,,0x90912878,9,19,11,,,21,40,12,9,0,-9,-12,920,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,11,Gold Lightan,id_11_gold_lightan,P2-C1,2026-07-13T19:02:18Z,normal,saved full action profile,j.B,0x010A,266,,,0x90912D98,11,17,7,,,27,44,17,12,0,-10,-15,1760,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x908F7FE0,,,11|id_11_gold_lightan|normal|action:010A|||j.B
