schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,5A,0x0100,256,,,0x908AFAB0,7,8,2,2,4,20,28,12,9,0,-8,-11,800,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,5B,0x0101,257,,,0x908AFF44,11,12,2,6,6,33,45,17,12,0,-16,-21,1440,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,5C,0x0102,258,,,0x908B02EC,23,25,3,6,6,30,55,21,15,0,-9,-15,3280,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,2A,0x0103,259,,,0x908B0808,7,8,2,19,19,13,32,12,9,0,-1,-4,720,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,2B,0x0104,260,,,0x908B0DB8,10,11,2,1,4,29,40,17,12,0,-12,-17,1360,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,2C,0x0105,261,,,0x908B12B0,15,21,7,4,4,44,65,21,15,0,-23,-29,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,6C,0x0106,262,,,0x908B1A50,15,17,3,12,12,0,10,21,15,0,21,15,2400,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,3C,0x0108,264,,,0x908B1A78,15,17,3,12,12,33,50,21,15,0,-12,-18,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,j.A,0x0109,265,,,0x908B1E90,6,13,8,12,12,25,38,12,9,0,-13,-16,960,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,j.B,0x010A,266,,,0x908B22A4,8,9,2,12,12,16,28,17,12,0,1,-4,1040,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:010A|||j.B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,j.C,0x010B,267,,,0x908B26DC,12,14,3,,,19,33,21,15,0,2,-4,2560,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:010B|||j.C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,normal,saved full action profile,6B,0x010E,270,,,0x908B2B78,1,1,1,,,34,35,21,15,0,-13,-19,0,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|normal|action:010E|||6B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908A952C,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908A952C|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908A9760,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908A9760|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908AA06C,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908AA06C|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908AA8C4,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908AA8C4|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908AB8AC,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908AB8AC|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908B21B4,8,9,2,12,12,,,17,12,0,-34,-39,1040,100,1,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908B21B4|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908B25EC,12,14,3,,,,,21,15,0,-25,-31,2560,150,1,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908B25EC|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908B30B8,5,9,5,,,,,12,9,0,-39,-42,1040,200,1,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908B30B8|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908B3498,9,9,1,,,,,17,12,0,-34,-39,1120,200,1,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908B3498|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_--,,,,,0x908B34C8,9,9,1,,,,,17,12,0,-34,-39,1120,200,1,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|raw:addr:908B34C8|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,back dash,0x0007,7,,,0x908ADB34,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:0007|||back dash
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_000C,0x000C,12,,,0x90899FC8,,,,,,,17,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:000C|||anim_000C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,Landing,0x000D,13,,,0x908AE2FE,,,,,,,14,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:000D|||Landing
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,Turn around,0x000E,14,,,0x9089B9BA,,,,,,,,,,,-12,-12,,150,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:000E|||Turn around
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_000F,0x000F,15,,,0x9089BAC6,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:000F|||anim_000F
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_0010,0x0010,16,,,0x908C4BCA,,,,,,,5,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:0010|||anim_0010
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,anim_0011,0x0011,17,,,0x908C4C86,,,,,,,17,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:0011|||anim_0011
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,Jump Cancel,0x0012,18,,,0x908C4CF2,,,,,,,24,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:0012|||Jump Cancel
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,pre jump,0x0013,19,,,0x908C4D72,,,,,,,5,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:0013|||pre jump
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,30,Frank West,id_30_frank_west,P1-C1,2026-07-06T01:54:52Z,special,saved full action profile,jump,0x0014,20,,,0x9089B792,,,,,,,5,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90896640,,,30|id_30_frank_west|special|action:0014|||jump
