schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,5A,0x0100,256,,,0x90967130,5,8,4,1,4,13,22,12,9,6,-1,-4,720,50,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,12,0,17,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,5B,0x0101,257,,,0x909675B4,10,13,4,4,4,14,32,17,12,9,3,-2,1600,100,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,7,0,1,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,5C,0x0102,258,,,0x9096795C,12,13,2,4,4,25,48,21,15,12,-4,-10,960,150,4,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,26,0,11,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,2A,0x0103,259,,,0x9096826C,5,8,4,3,4,12,24,12,9,6,0,-3,400,50,2,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,14,0,12,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,2B,0x0104,260,,,0x90968858,9,12,4,3,4,10,33,17,12,9,7,2,1520,100,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,18,0,6,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,2C,0x0105,261,,,0x90968BAC,10,14,5,1,4,28,44,21,15,12,-7,-13,2800,150,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,12,0,14,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,6C,0x0106,262,,,0x90968EF8,14,18,5,8,8,34,48,21,15,7,-13,-19,3300,150,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,4,0,9,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,3C,0x0108,264,,,0x9096930C,9,15,7,5,5,36,53,21,15,9,-15,-21,2560,150,0,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,15,0,7,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,j.A,0x0109,265,,,0x90969658,5,13,9,5,5,19,36,12,9,6,-7,-10,640,50,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,19,0,6,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,15,Morrigan,id_15_morrigan,P1-C2,2026-07-14T23:36:16Z,normal,saved full action profile,j.B,0x010A,266,,,0x90969B38,7,11,5,,,34,45,13,12,,-21,-22,1600,100,1,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,15|id_15_morrigan|normal|action:010A|||j.B
