schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,5A,0x0100,256,,,0x908AEE00,7,8,2,2,4,18,26,12,9,0,-6,-9,800,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,5B,0x0101,257,,,0x908AF448,9,11,3,2,4,27,38,17,12,0,-10,-15,1600,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,5C,0x0102,258,,,0x908AF96C,13,16,4,,,36,52,21,15,0,-15,-21,3200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,2B,0x0103,259,,,0x908AFE84,7,8,2,2,4,19,27,12,9,0,-7,-10,800,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0103|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,2B,0x0104,260,,,0x908B0450,9,11,3,3,4,31,42,17,12,0,-14,-19,1600,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,2C,0x0105,261,,,0x908B08B4,15,16,2,3,4,37,53,21,15,0,-16,-22,3200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,6C,0x0106,262,,,0x908B0E10,25,28,4,17,17,35,63,21,15,0,-14,-20,3800,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,3C,0x0108,264,,,0x908B1248,15,18,4,8,8,35,53,21,15,0,-14,-20,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,j.A,0x0109,265,,,0x908B1638,5,11,7,8,8,19,30,12,9,0,-7,-10,800,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,14,Batsu,id_14_batsu,P1-C1,2026-07-05T14:24:49Z,normal,saved full action profile,j.B,0x010A,266,,,0x908B1AAC,9,15,7,,,22,37,17,12,0,-5,-10,1600,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,14|id_14_batsu|normal|action:010A|||j.B
