schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,5A,0x0100,256,,,0x90975224,8,8,1,,,14,22,12,9,0,-2,-5,1040,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,5B,0x0101,257,,,0x90975714,10,10,1,3,4,29,39,17,12,0,-12,-17,1920,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,5C,0x0102,258,,,0x90975B3C,16,16,1,1,4,32,48,21,15,0,-11,-17,2160,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,2A,0x0103,259,,,0x909761A0,7,7,1,2,4,15,22,12,9,0,-3,-6,1040,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,2B,0x0104,260,,,0x9097662C,9,10,2,1,4,30,40,17,12,0,-13,-18,1920,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,2C,0x0105,261,,,0x90976A7C,10,12,3,1,4,36,48,21,15,0,-15,-21,3200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,6C,0x0106,262,,,0x90976F38,13,16,4,1,4,29,45,21,15,0,-8,-14,2720,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,3C,0x0108,264,,,0x90976F60,13,16,4,1,4,32,48,21,15,0,-11,-17,2720,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,j.A,0x0109,265,,,0x909773C8,8,13,6,,,19,32,12,9,0,-7,-10,880,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C2,2026-07-13T18:22:20Z,normal,saved full action profile,j.B,0x010A,266,,,0x9097780C,10,11,2,,,26,37,17,12,0,-9,-14,1760,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x9095C7A0,,,2|id_02_casshan|normal|action:010A|||j.B
