schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,5A,0x0100,256,,,0x908AE184,5,6,2,,,19,25,16,12,0,-3,-7,540,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,5B,0x0101,257,,,0x908AE634,9,10,2,2,4,24,34,19,16,0,-5,-8,920,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,5C,0x0102,258,,,0x908AEAF0,11,14,4,2,4,31,45,20,18,0,-11,-13,1040,150,2,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,2A,0x0103,259,,,0x908AF3FC,5,6,2,1,4,19,25,15,12,0,-4,-7,480,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,2B,0x0104,260,,,0x908AF95C,10,11,2,1,4,26,37,17,20,0,-9,-6,920,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,2C,0x0105,261,,,0x908AFE6C,12,19,8,5,5,31,50,25,27,0,-6,-4,2060,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,6C,0x0106,262,,,0x908B02E8,25,28,4,16,16,48,76,21,15,0,-27,-33,3000,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,3C,0x0108,264,,,0x908B10C0,13,15,3,,,,,21,15,0,-24,-30,1840,150,1,,0,,,,,,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,j.A,0x0109,265,,,0x908B15F8,4,13,10,,,37,50,12,9,0,-25,-28,640,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,10,Karas,id_10_karas,P1-C1,2026-07-14T02:11:42Z,normal,saved full action profile,j.B,0x010A,266,,,0x908B1A50,8,11,4,,,44,55,17,12,0,-27,-32,940,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,10|id_10_karas|normal|action:010A|||j.B
