schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,5A,0x0100,256,,,0x90958B10,8,9,2,1,4,36,45,21,17,,-15,-19,1120,50,0,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,5B,0x0101,257,,,0x90958E44,13,15,3,4,4,34,49,24,21,,-10,-13,2560,100,2,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,5C,0x0102,258,,,0x909595E8,19,24,6,4,4,28,58,21,15,12,-7,-13,3280,150,2,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,2,0,2,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,2A,0x0103,259,,,0x90959D34,12,16,5,1,4,23,39,21,17,,-2,-6,1840,50,1,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,2B,0x0104,260,,,0x9095A4A0,15,17,3,3,4,29,46,24,21,,-5,-8,2880,100,3,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,2C,0x0105,261,,,0x9095ADC4,19,20,2,8,8,26,55,21,15,,-5,-11,2160,150,2,,0,runtime_observed,,,,runtime_observed,0,0,4,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,6C,0x0106,262,,,0x9095B6C8,21,24,4,8,8,0,15,27,25,,27,25,1680,150,2,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,3C,0x0108,264,,,0x9095C23C,17,22,6,7,7,31,53,21,15,,-10,-16,3200,150,1,,0,runtime_observed,runtime_observed,,,runtime_observed,1,0,1,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,j.A,0x0109,265,,,0x9095C608,10,12,3,7,7,2,55,21,9,4,19,7,1120,50,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,3,0,8,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Includes runtime-observed values; compare repeated samples before confirming.,3,Tekkaman,id_03_tekkaman,P1-C2,2026-07-14T01:37:27Z,normal,saved full action profile,j.B,0x010A,266,,,0x9095CFA8,12,15,4,,,2,73,17,12,7,15,10,2320,100,1,,0,runtime_observed,runtime_observed,,runtime_observed,runtime_observed,2,0,1,saved full action profile,0x90940A60,,,3|id_03_tekkaman|normal|action:010A|||j.B
