schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,5A,0x0100,256,,,0x908AEEC8,6,7,2,2,4,15,22,12,9,0,-3,-6,800,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,5B,0x0101,257,,,0x908AF354,8,10,3,2,4,29,39,17,12,0,-12,-17,1440,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,5C,0x0102,258,,,0x908AF734,15,16,2,2,4,32,48,21,15,0,-11,-17,2480,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,2A,0x0103,259,,,0x908AFC60,6,8,3,1,4,18,26,12,9,0,-6,-9,720,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,2B,0x0104,260,,,0x908B0230,9,11,3,1,4,35,46,17,12,0,-18,-23,1360,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,2C,0x0105,261,,,0x908B0798,12,13,2,4,4,37,50,21,15,0,-16,-22,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,6C,0x0106,262,,,0x908B0F70,16,18,3,4,4,35,53,21,15,0,-14,-20,2160,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,3C,0x0108,264,,,0x908B14BC,9,14,6,2,4,36,50,21,15,0,-15,-21,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,j.A,0x0109,265,,,0x908B18E8,5,13,9,2,4,24,37,12,9,0,-12,-15,960,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,12,Ryu,id_12_ryu,P1-C1,2026-07-13T17:35:50Z,normal,saved full action profile,j.B,0x010A,266,,,0x908B1D44,9,9,1,,,32,41,17,12,0,-15,-20,1040,100,2,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,12|id_12_ryu|normal|action:010A|||j.B
