schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,5A,0x0100,256,,,0x90904DAC,5,5,1,1,4,13,18,12,9,0,-1,-4,720,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,5B,0x0101,257,,,0x90905270,9,9,1,3,4,30,39,17,12,0,-13,-18,1280,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,5C,0x0102,258,,,0x90905740,13,13,1,3,4,35,48,21,15,0,-14,-20,2800,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,2A,0x0103,259,,,0x90905DE8,5,5,1,1,4,15,20,12,9,0,-3,-6,720,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,2B,0x0104,260,,,0x90906264,7,7,1,3,4,28,35,17,12,0,-11,-16,1280,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,2C,0x0105,261,,,0x90906704,10,11,2,1,4,46,57,21,15,0,-25,-31,1280,150,2,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,6C,0x0106,262,,,0x90906D24,13,15,3,2,4,33,48,21,15,0,-12,-18,2720,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,3C,0x0108,264,,,0x90906D4C,13,15,3,2,4,38,53,21,15,0,-17,-23,2720,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,j.A,0x0109,265,,,0x9090745C,5,13,9,2,4,21,34,12,9,0,-9,-12,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,1,Ken the Eagle,id_01_ken_the_eagle,P2-C1,2026-07-13T19:49:57Z,normal,saved full action profile,j.B,0x010A,266,,,0x90907858,7,10,4,,,28,38,17,12,0,-11,-16,1360,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x908EC600,,,1|id_01_ken_the_eagle|normal|action:010A|||j.B
