schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,5A,0x0100,256,,,0x909D5A44,6,8,3,4,4,12,20,12,9,0,0,-3,730,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,5B,0x0101,257,,,0x909D5F1C,8,8,1,4,4,19,27,17,12,0,-2,-7,620,100,2,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,5C,0x0102,258,,,0x909D6814,11,15,5,,,25,40,21,15,0,-4,-10,2100,150,2,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,2A,0x0103,259,,,0x909D7010,6,7,2,1,4,12,19,12,9,0,0,-3,730,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,2B,0x0104,260,,,0x909D7480,7,9,3,1,4,17,26,17,12,0,0,-5,1400,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,2C,0x0105,261,,,0x909D788C,11,14,4,1,4,26,40,21,15,0,-5,-11,2100,150,2,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,6C,0x0106,262,,,0x909D806C,10,12,3,,,21,33,21,15,0,0,-6,2240,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,3C,0x0108,264,,,0x909D8094,10,12,3,,,44,56,21,15,0,-23,-29,2240,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,j.A,0x0109,265,,,0x909D8464,6,8,3,,,28,36,12,9,0,-16,-19,800,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,28,Yatterman-2,id_28_yatterman_2,P2-C2,2026-07-13T18:11:47Z,normal,saved full action profile,j.B,0x010A,266,,,0x909D8950,10,31,22,,,14,45,17,12,0,3,-2,800,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909BCD40,,,28|id_28_yatterman_2|normal|action:010A|||j.B
