schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,5A,0x0100,256,,,0x90965230,6,7,2,2,4,14,21,12,9,0,-2,-5,520,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,5B,0x0101,257,,,0x90965738,7,9,3,2,4,23,32,17,12,0,-6,-11,940,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,5C,0x0102,258,,,0x90965B74,13,15,3,6,6,30,45,21,15,0,-9,-15,2080,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,2A,0x0103,259,,,0x90966000,5,6,2,6,6,18,24,12,9,0,-6,-9,540,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,2B,0x0104,260,,,0x9096648C,7,9,3,,,21,30,17,12,0,-4,-9,940,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,2C,0x0105,261,,,0x9096690C,9,13,5,,,26,39,21,15,0,-5,-11,2140,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,6C,0x0106,262,,,0x90966D7C,28,33,6,,,0,26,21,15,0,21,15,3000,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,3C,0x0108,264,,,0x90967210,14,21,8,,,35,56,21,15,0,-14,-20,2240,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,j.A,0x0109,265,,,0x9096769C,5,16,12,,,27,43,12,9,0,-15,-18,480,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,13,Chun-Li,id_13_chun_li,P1-C2,2026-07-13T17:35:39Z,normal,saved full action profile,j.B,0x010A,266,,,0x90967B50,8,17,10,,,26,43,17,12,0,-9,-14,860,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094C680,,,13|id_13_chun_li|normal|action:010A|||j.B
