schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,5A,0x0100,256,,,0x909C1D68,7,9,3,,,27,36,12,9,0,-15,-18,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,5B,0x0101,257,,,0x909C22AC,11,13,3,3,4,23,36,17,12,0,-6,-11,1280,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,5C,0x0102,258,,,0x909C2760,1,1,1,3,4,56,60,17,12,0,-39,-44,1280,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,2A,0x0103,259,,,0x909C3320,5,7,3,1,4,20,27,12,9,0,-8,-11,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,2B,0x0104,260,,,0x909C3754,7,10,4,1,4,21,31,17,12,0,-4,-9,1040,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,2C,0x0105,261,,,0x909C3B48,1,1,1,1,4,51,55,17,12,0,-34,-39,1280,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,6C,0x0106,262,,,0x909C4778,17,19,3,9,9,3,22,21,15,0,18,12,3600,150,0,timed_phase,8,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,3C,0x0108,264,,,0x909C4CB0,12,15,4,4,4,37,52,21,15,0,-16,-22,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,j.A,0x0109,265,,,0x909C5258,5,11,7,4,4,25,36,12,9,0,-13,-16,480,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,20,Saki,id_20_saki,P2-C2,2026-07-13T19:10:21Z,normal,saved full action profile,j.B,0x010A,266,,,0x909C5654,8,15,8,,,23,38,17,12,0,-6,-11,960,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909A9200,,,20|id_20_saki|normal|action:010A|||j.B
