schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,5A,0x0100,256,,,0x909C0404,5,5,1,1,4,13,18,12,9,0,-1,-4,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,5B,0x0101,257,,,0x909C0894,8,9,2,2,4,22,31,17,12,0,-5,-10,1040,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,5C,0x0102,258,,,0x909C0CBC,13,14,2,2,4,31,45,21,15,0,-10,-16,2000,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,2A,0x0103,259,,,0x909C1368,5,6,2,1,4,13,19,12,9,0,-1,-4,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,2B,0x0104,260,,,0x909C17B0,7,8,2,1,4,26,34,17,12,0,-9,-14,1200,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,2C,0x0105,261,,,0x909C1DB4,17,18,2,10,10,35,53,21,15,0,-14,-20,800,150,2,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,6C,0x0106,262,,,0x909C2688,19,20,2,10,10,47,67,21,15,0,-26,-32,800,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,3C,0x0108,264,,,0x909C3190,15,16,2,,,39,55,21,15,0,-18,-24,2240,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,j.A,0x0109,265,,,0x909C3AAC,5,17,13,,,17,34,12,9,0,-5,-8,800,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,8,Jun the Swan,id_08_jun_the_swan,P2-C2,2026-07-08T13:05:26Z,normal,saved full action profile,j.B,0x010A,266,,,0x909C3E90,7,19,13,,,19,38,17,12,0,-2,-7,1600,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x909A7920,,,8|id_08_jun_the_swan|normal|action:010A|||j.B
