schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,5A,0x0100,256,,,0x9096BDEC,6,6,1,1,4,20,26,16,11,0,-4,-9,800,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,5B,0x0101,257,,,0x9096C2C4,9,10,2,2,4,30,40,20,14,0,-10,-16,1040,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,5C,0x0102,258,,,0x9096C82C,1,1,1,2,4,39,43,20,14,0,-19,-25,1040,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,2A,0x0103,259,,,0x9096CC60,6,7,2,1,4,19,26,16,11,0,-3,-8,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,2B,0x0104,260,,,0x9096D108,9,11,3,1,4,30,41,17,12,0,-13,-18,1040,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,2C,0x0105,261,,,0x9096D544,1,1,1,,,44,45,17,12,0,-27,-32,1040,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,6C,0x0106,262,,,0x9096D978,12,14,3,7,7,28,42,21,15,0,-7,-13,2400,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,3C,0x0108,264,,,0x9096D9A0,12,14,3,7,7,32,46,21,15,0,-11,-17,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,j.A,0x0109,265,,,0x9096DD1C,6,11,6,7,7,26,37,12,9,0,-14,-17,640,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,18,Volnutt,id_18_volnutt,P1-C2,2026-07-13T13:41:24Z,normal,saved full action profile,j.B,0x010A,266,,,0x9096E138,9,11,3,7,7,30,41,12,12,0,-18,-18,1120,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909523A0,,,18|id_18_volnutt|normal|action:010A|||j.B
