schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,5A,0x0100,256,,,0x9096D430,4,4,1,1,4,16,20,12,9,0,-4,-7,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,5B,0x0101,257,,,0x9096D8AC,5,6,2,1,4,22,28,17,12,0,-5,-10,1280,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,5C,0x0102,258,,,0x9096DC30,13,16,4,5,5,24,40,21,15,0,-3,-9,2480,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,2A,0x0103,259,,,0x9096DFC0,4,4,1,1,4,16,20,12,9,0,-4,-7,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,2B,0x0104,260,,,0x9096E434,6,9,4,1,4,22,31,17,12,0,-5,-10,1040,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,2C,0x0105,261,,,0x9096E8F4,8,20,13,1,4,15,35,21,15,0,6,0,2240,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,6C,0x0106,262,,,0x9096ED98,11,16,6,5,5,19,35,21,15,0,2,-4,2240,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,3C,0x0108,264,,,0x9096EDC0,11,16,6,5,5,20,36,21,15,0,1,-5,2240,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,j.A,0x0109,265,,,0x9096F07C,5,6,2,5,5,17,23,12,9,0,-5,-8,480,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,j.B,0x010A,266,,,0x9096F4C0,6,14,9,5,5,18,32,12,9,0,-6,-9,960,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:010A|||j.B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,j.C,0x010B,267,,,0x9096F93C,8,8,1,,,32,40,12,9,0,-20,-23,720,150,3,,0,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:010B|||j.C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-13T13:52:24Z,normal,saved full action profile,6B,0x010E,270,,,0x909701DC,12,13,2,9,9,0,12,17,12,0,17,12,960,100,0,timed_phase,6,,,,,mot_derived,,,,saved full action profile,0x90954800,,,17|id_17_viewtiful_joe|normal|action:010E|||6B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x9094C82C,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:9094C82C|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x9094CA60,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:9094CA60|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x9094D36C,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:9094D36C|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x9094DBC4,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:9094DBC4|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x9094EBAC,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:9094EBAC|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x90954690,6,14,9,5,5,,,12,9,0,-34,-37,960,100,1,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:90954690|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x90954B0C,8,8,1,,,,,12,9,0,-40,-43,720,150,3,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:90954B0C|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x909557F8,4,8,5,9,9,,,12,9,0,-40,-43,560,100,1,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:909557F8|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x90955C18,6,8,3,9,9,,,17,12,0,-35,-40,1040,200,1,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:90955C18|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x90955C48,6,8,3,9,9,,,17,12,0,-35,-40,1040,200,1,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:90955C48|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x9096BFB0,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:9096BFB0|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-04T14:02:50Z,special,saved full action profile,anim_--,,,,,0x9096DF40,,,,,,,,,,,-12,-12,,200,0,,0,,,,,,,,,saved full action profile,0x90939AC0,,,17|id_17_viewtiful_joe|special|raw:addr:9096DF40|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-06T02:57:55Z,special,saved full action profile,anim_--,,,,,0x9094FC6C,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x9093CF00,,,17|id_17_viewtiful_joe|special|raw:addr:9094FC6C|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,17,Viewtiful Joe,id_17_viewtiful_joe,P1-C2,2026-07-06T02:57:55Z,special,saved full action profile,anim_--,,,,,0x9094FEA0,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x9093CF00,,,17|id_17_viewtiful_joe|special|raw:addr:9094FEA0|||anim_--
